Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
177000,1.3813068,0.00029338128,0.012355434,0.00043385397,0.019869141,0.0,0.0,1477.0
178000,1.3813795,0.0002933438,0.013262919,7.220082e-05,0.024699192,0.0,0.0,1477.0
179000,1.3804097,0.00029330628,0.011984764,3.0109506e-05,0.029654177,0.0,0.0,1477.0
180000,1.3795091,0.0002932688,0.01120558,None,None,4.285714285714286,4.285714285714286,862.8571428571429
181000,1.3786225,0.00029323128,0.022860656,0.24089704,0.024558695,0.0,0.0,1477.0
182000,1.3783953,0.0002931938,0.018450212,0.0002678117,0.027779039,0.0,0.0,1477.0
183000,1.378469,0.0002931563,0.007792198,0.08130529,0.024475936,2.5,2.5,1257.0
184000,1.3785454,0.0002931188,0.008661568,0.00039287884,0.027718151,0.0,0.0,1477.0
185000,1.3782299,0.00029308128,0.008590387,9.628686e-05,0.023254206,0.0,0.0,1477.0
186000,1.3777329,0.0002930438,0.005279386,7.285664e-05,0.018133571,0.0,0.0,1477.0
187000,1.3775994,0.0002930063,0.007512955,0.009780679,0.019198734,1.25,1.25,1324.0
188000,1.3772719,0.0002929688,0.0026428795,None,None,0.0,0.0,1477.0
189000,1.3774868,0.00029293128,0.0016143775,3.9623923e-05,0.02340856,3.3333333333333335,3.3333333333333335,1074.1666666666667
190000,1.3778343,0.00029289376,0.0029616642,0.2256369,0.024159811,1.4285714285714286,1.4285714285714286,1267.7142857142858
191000,1.3783525,0.00029285628,0.0007314593,0.0007027258,0.026895542,2.2222222222222223,2.2222222222222223,1315.3333333333333
192000,1.3787857,0.0002928188,0.009624773,0.1525316,0.025478791,0.0,0.0,1477.0
193000,1.3789268,0.0002927813,0.022903005,0.00085203967,0.021970544,0.0,0.0,1477.0
194000,1.3790346,0.0002927438,0.023217235,0.00035405438,0.017205387,0.0,0.0,1477.0
195000,1.3795462,0.0002927063,0.010491797,0.00012637707,0.021606166,0.0,0.0,1477.0
196000,1.3798048,0.00029266882,0.010596325,None,None,0.0,0.0,1477.0
197000,1.3799165,0.00029263127,0.0106922295,7.3531504e-05,0.02587465,0.0,0.0,1477.0
198000,1.3801361,0.0002925938,0.005952623,5.8356396e-05,0.03049127,2.0,2.0,1197.4
199000,1.379894,0.00029255627,0.018344983,0.07138681,0.025435846,0.0,0.0,1477.0
200000,1.3798088,0.0002925188,0.023378152,0.00012322945,0.020193357,0.0,0.0,1477.0
201000,1.3798442,0.0002924813,0.0106214555,5.5725865e-05,0.025104117,0.0,0.0,1477.0
202000,1.3797569,0.0002924438,0.014461575,4.6176992e-05,0.023739448,0.0,0.0,1477.0
203000,1.3795285,0.0002924063,0.012315096,4.1567626e-05,0.020453723,0.0,0.0,1477.0
204000,1.3797246,0.00029236876,0.005547181,None,None,2.5,2.5,1298.25
205000,1.3798401,0.00029233127,0.014477935,0.044045575,0.027415855,0.0,0.0,1477.0
206000,1.3792142,0.0002922938,0.012017922,7.02477e-05,0.026838062,0.0,0.0,1477.0
207000,1.3785305,0.0002922563,0.009402634,3.0904597e-05,0.021720108,2.0,2.0,1224.2
208000,1.3778323,0.0002922188,0.01827121,0.07895458,0.02694742,0.0,0.0,1477.0
209000,1.3769224,0.00029218127,0.0263919,0.0006119326,0.02529087,2.2222222222222223,2.2222222222222223,1164.111111111111
210000,1.3758867,0.00029214378,0.02847654,0.14340504,0.02710993,3.3333333333333335,3.3333333333333335,1003.3333333333334
211000,1.3751765,0.0002921063,0.04573879,0.14821273,0.025862,0.0,0.0,1477.0
212000,1.3749655,0.00029206878,0.045993555,None,None,1.25,1.25,1306.5
213000,1.3745676,0.0002920313,0.052204378,0.07855386,0.027266957,0.0,0.0,1477.0
214000,1.3740749,0.00029199378,0.060495783,0.0012714543,0.02499106,0.0,0.0,1477.0
215000,1.3742793,0.00029195627,0.04148181,0.00047073193,0.018230192,1.25,1.25,1298.875
216000,1.3749763,0.00029191878,0.05110154,0.21862887,0.023807025,3.3333333333333335,3.3333333333333335,1002.6666666666666
217000,1.3755407,0.0002918813,0.06753221,0.0006462257,0.024044394,0.0,0.0,1477.0
218000,1.3758186,0.0002918438,0.0434069,0.00022491645,0.021683482,0.0,0.0,1477.0
219000,1.3764197,0.00029180627,0.04608245,0.08281088,0.027076328,1.4285714285714286,1.4285714285714286,1345.7142857142858
220000,1.3774675,0.00029176878,0.057981357,None,None,0.0,0.0,1477.0
221000,1.3777328,0.0002917313,0.038649455,0.00048228053,0.030250495,0.0,0.0,1477.0
222000,1.3775932,0.00029169378,0.035492606,0.00022291666,0.023503883,0.0,0.0,1477.0
223000,1.3778903,0.0002916563,0.032905098,0.0001395741,0.023793645,0.0,0.0,1477.0
224000,1.3788413,0.00029161875,0.022865497,0.000104016515,0.026930695,0.0,0.0,1477.0
225000,1.379875,0.00029158127,0.022518525,9.600653e-05,0.030830216,0.0,0.0,1477.0
226000,1.380636,0.00029154378,0.022149215,6.100479e-05,0.023791192,1.25,1.25,1308.875
227000,1.381119,0.0002915063,0.022802984,0.20720227,0.022404414,5.0,5.0,1032.3333333333333
228000,1.381088,0.0002914688,0.0577002,None,None,0.0,0.0,1477.0
229000,1.3816773,0.0002914313,0.06917095,0.08174622,0.023271166,1.1111111111111112,1.1111111111111112,1363.2222222222222
230000,1.3820977,0.0002913938,0.07715503,0.06427488,0.024760732,0.0,0.0,1477.0
231000,1.3820465,0.00029135632,0.08219796,0.04534489,0.03144845,1.25,1.25,1293.25
232000,1.382114,0.00029131878,0.09483847,0.075263344,0.020827204,3.0,3.0,1164.9
233000,1.3821452,0.0002912813,0.09156347,0.12855643,0.027093334,4.0,4.0,1174.2
234000,1.3819497,0.00029124378,0.12048489,0.44362035,0.019736879,5.0,5.0,989.8
235000,1.3817507,0.0002912063,0.16538154,0.23441179,0.026001554,3.3333333333333335,3.3333333333333335,1135.4444444444443
236000,1.3823484,0.0002911688,0.17601903,None,None,2.0,2.0,1236.6
237000,1.383219,0.00029113126,0.15176597,0.07749095,0.026498027,3.75,3.75,1240.75
238000,1.3835344,0.00029109378,0.13844505,0.21194288,0.030995151,4.285714285714286,4.285714285714286,1216.0
239000,1.3826277,0.00029105626,0.14489667,0.18237665,0.01720364,2.2222222222222223,2.2222222222222223,1321.3333333333333
240000,1.3810484,0.00029101878,0.14768453,0.22104287,0.02242789,2.5,2.5,1171.0
241000,1.3801961,0.0002909813,0.1455824,0.078015886,0.024861777,3.0,3.0,1171.9
242000,1.3804626,0.0002909438,0.14750431,0.29655656,0.02497525,2.857142857142857,2.857142857142857,1101.7142857142858
243000,1.3810575,0.0002909063,0.16007523,0.0009468243,0.021621624,0.0,0.0,1477.0
244000,1.3812394,0.00029086877,0.1414546,0.15646146,0.021191362,2.5,2.5,1337.0
245000,1.3813155,0.0002908313,0.14959612,None,None,2.0,2.0,1244.0
246000,1.3815527,0.0002907938,0.13591464,0.08212185,0.017023819,0.0,0.0,1477.0
247000,1.3813142,0.0002907563,0.1240436,0.0009569082,0.019553391,0.0,0.0,1477.0
248000,1.3811271,0.0002907188,0.109244324,0.00043199857,0.020131884,0.0,0.0,1477.0
249000,1.3814136,0.00029068132,0.094656214,0.00029520917,0.030209683,0.0,0.0,1477.0
250000,1.3816462,0.0002906438,0.08363703,0.00023994391,0.028119782,0.0,0.0,1477.0
251000,1.3809421,0.00029060632,0.072896704,0.00017474197,0.022920357,0.0,0.0,1477.0
252000,1.3797293,0.00029056877,0.06556943,0.00016028533,0.02172714,0.0,0.0,1477.0
253000,1.3787287,0.0002905313,0.05944105,None,None,0.0,0.0,1477.0
254000,1.3785505,0.00029049377,0.05204775,0.00014631766,0.020646537,0.0,0.0,1477.0
255000,1.3778878,0.0002904563,0.047735993,0.00011538922,0.026571665,1.4285714285714286,1.4285714285714286,1427.4285714285713
256000,1.3774188,0.0002904188,0.06313042,0.22427295,0.028541842,2.5,2.5,1184.75
257000,1.3770437,0.0002903813,0.076328725,0.0011476832,0.025522877,0.0,0.0,1477.0
258000,1.3765504,0.00029034377,0.07350444,0.119073786,0.024423594,2.5,2.5,1145.75
259000,1.37577,0.00029030626,0.07458418,0.14301296,0.02165499,2.5,2.5,1144.625
260000,1.3744682,0.00029026877,0.07907936,0.28739682,0.021736836,5.0,5.0,1036.5
261000,1.3741523,0.00029023128,0.12893832,None,None,4.444444444444445,4.444444444444445,970.3333333333334
262000,1.374898,0.0002901938,0.16727072,0.39014673,0.019298887,3.3333333333333335,3.3333333333333335,1195.7777777777778
263000,1.3754342,0.0002901563,0.16009527,0.18521701,0.026125018,3.3333333333333335,3.3333333333333335,1268.5
